Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-ct-densitometry.json	8070	9	0	199	0	0	0	0	0	172	1	0	0	0	0	0	0	1	0	0	49143	5641	0	0	0	8	0	2
fsh-generated/resources/StructureDefinition-ct-keratoconus-indices.json	15175	21	0	115	0	0	0	0	0	279	0	0	0	0	0	0	0	3	0	0	94613	7459	0	0	0	17	1	3
fsh-generated/resources/StructureDefinition-ct-pachymetry.json	7325	16	0	46	0	0	0	0	1	124	0	0	1	0	0	0	0	1	0	0	45722	5032	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-ct-posterior-surface.json	7720	12	0	57	0	0	0	0	0	157	0	0	0	0	0	0	0	2	0	0	67188	5706	0	1	0	10	1	3
fsh-generated/resources/StructureDefinition-gaze-position-measurement.json	6179	6	0	59	0	0	0	0	0	92	0	0	0	0	0	0	0	1	0	0	45226	3983	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-hirschberg-test.json	2509	3	0	22	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	25415	2862	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-intraocular-pressure.json	3796	6	0	28	0	0	0	0	0	67	0	0	0	0	0	0	0	1	0	0	26899	3810	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-iol-formula-result.json	6717	33	0	48	0	0	0	0	0	86	0	0	0	0	0	0	0	1	0	0	50442	4994	0	0	0	8	0	2
fsh-generated/resources/StructureDefinition-krimsky-test.json	3931	3	1	29	0	0	0	0	0	61	0	0	0	0	0	0	0	1	0	0	42316	4273	0	0	0	5	1	1
fsh-generated/resources/StructureDefinition-near-point-of-convergence.json	2297	2	0	23	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	21165	3442	0	0	0	5	1	1
fsh-generated/resources/StructureDefinition-ocular-body-structure.json	2107	2	0	10	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	7200	2589	0	0	0	2	0	1
